E, P
-83.07619343537301, 4903.228517383086
-75.6426344709395, 4945.912105928617
-74.88756667970846, 4961.3616770597455
-74.47638691431021, 4976.659574971255
-68.137535428809, 4998.959860818909
-63.98765938245379, 5016.6136825826625
-63.118868808574796, 5017.825867781819
-60.692337055420225, 5032.262520577014
-61.90940393467359, 5023.48163195329
-50.01023528223497, 5045.009019656892
-19.137535676976977, 5189.610208758839
-49.01065429452841, 5062.920199370249
-46.11938776754981, 5058.789519838125
-32.82220642164348, 5107.65700279178
-35.65295875312896, 5158.46805586202
-35.65295875312896, 5158.46805586202
49.6249522707395, 5540.268763488348
49.65202046595353, 5540.329580171154
59.78853909096733, 5595.334075038519
69.52252240369698, 5610.722283384878
87.64533959334577, 5740.516002818913
87.64533959334577, 5740.516002818913
75.74410488984745, 5682.121845639468
75.74410488984745, 5682.121845639468
68.27722085816345, 5657.616629802033
68.27722085816345, 5657.616629802033
68.27722085816345, 5657.616629802033
68.27722085816345, 5657.616629802033
130.1149041649469, 5857.804692627843
130.8583811235893, 5865.616585485286
130.8583811235893, 5865.616585485286
130.8583811235893, 5865.616585485286
184.8676548567356, 5869.3638466948605
428.55515665085886, 6873.562870956006
491.9518873332522, 7154.804276009998
491.9518873332522, 7154.804276009998
483.88300137071184, 7104.711659179735
483.88300137071184, 7104.711659179735
483.88300137071184, 7104.711659179735
476.9241698083771, 7073.913228212765
476.1403049589278, 7067.191325130814
476.1403049589278, 7067.191325130814
453.60528855466174, 7259.094453854513
453.60528855466174, 7259.094453854513
460.5733396486437, 7289.870015760971
455.5907116168421, 7262.856441650275
456.34301654984694, 7266.1477892979965
458.0649104463517, 7272.121130506504
458.0649104463517, 7272.121130506504
458.0649104463517, 7272.121130506504
458.0649104463517, 7272.121130506504
458.0649104463517, 7272.121130506504
180.91337432439735, 6137.914060654694
172.48037743572394, 6102.79539633303
190.63284951902054, 6177.872804262328
161.54504215256935, 5972.379331445358
202.13240441120152, 6131.8169786491835
202.13240441120152, 6131.8169786491835
209.70117342630115, 6153.348701447707
209.70117342630115, 6153.348701447707
209.70117342630115, 6153.348701447707
190.98152960014724, 6071.737504781251
190.98152960014724, 6071.737504781251
191.9166013570432, 6069.235527658377
271.11499049911515, 6420.556124679685
271.11499049911515, 6420.556124679685
251.8693882803089, 6343.355925956575
227.97552063297695, 6242.67409455445
227.97552063297695, 6242.67409455445
232.97403630001853, 6270.300071662842
232.97403630001853, 6270.300071662842
232.97403630001853, 6270.300071662842
232.97403630001853, 6270.300071662842
232.97403630001853, 6270.300071662842
232.97403630001853, 6270.300071662842
232.97403630001853, 6270.300071662842
232.97403630001853, 6270.300071662842
232.97403630001853, 6270.300071662842
232.97403630001853, 6270.300071662842
240.92940034686868, 6309.98855842802
240.92940034686868, 6309.98855842802
240.92940034686868, 6309.98855842802
264.4447571648161, 6413.746659209218
232.6501787261132, 6257.346278524865
232.6501787261132, 6257.346278524865
231.78899200941976, 6238.882238161726
239.54207686274924, 6269.298881046683
277.39024600213247, 6418.685163482347
257.18398521225754, 6405.979489263863
257.18398521225754, 6405.979489263863
132.06055301838896, 5876.410420250095
97.77081171885287, 5728.711883918237
98.30789197390942, 5734.4282337014865
93.8224275340654, 5716.963837262796
96.19058393854783, 5717.919866618316
118.17559864192764, 5815.703289624841
118.17559864192764, 5815.703289624841
118.17559864192764, 5815.703289624841
118.17559864192764, 5815.703289624841
109.67419110402278, 5776.408979600009
92.78862110151445, 5704.484805861095
61.353925860333106, 5572.328000135358
91.37704926829605, 5694.131533148655
86.11242607214834, 5695.22178227186
78.64299251686515, 5659.015912962112
78.64299251686515, 5659.015912962112
254.813238705648, 6403.004506429839
254.813238705648, 6403.004506429839
254.813238705648, 6403.004506429839
344.3733426690528, 6794.009701812577
344.3733426690528, 6794.009701812577
341.30236230904467, 6783.092586205249
295.5480354112599, 6618.45630023249
213.39726824272444, 6266.305507969975
355.6242350023667, 6885.4285900501245
342.10562744790775, 6824.221600475841
342.10562744790775, 6824.221600475841
340.6743536693583, 6819.092430759591
340.6743536693583, 6819.092430759591
281.6620210773678, 6570.002165344844
283.82598755249523, 6593.460096045828
275.1247288136814, 6549.592822473294
270.1741525543844, 6564.1462154473065
270.1741525543844, 6564.1462154473065
270.1741525543844, 6564.1462154473065
235.63364912539407, 6420.603519709021
235.63364912539407, 6420.603519709021
230.47834476072353, 6387.307177655865
230.47834476072353, 6387.307177655865
230.47834476072353, 6387.307177655865
274.7381444747115, 6595.614395791911
278.1782543627723, 6609.798000347945
278.1782543627723, 6609.798000347945
317.9858845122826, 6794.575111924286
317.9858845122826, 6794.575111924286
317.9858845122826, 6794.575111924286
416.5441892864269, 7205.9556770929685
376.7958554117304, 7033.245954594627
376.7958554117304, 7033.245954594627
384.8371768447456, 7067.890408211191
395.53874522091087, 7106.7867510525975
395.53874522091087, 7106.7867510525975
395.45686084411693, 7106.43906770767
403.00347916563203, 7150.126174592241
315.8472847855884, 6783.282248625055
247.40999676363143, 6479.107412186267
456.40849741517724, 7358.272204990637
222.62338303310776, 6398.095530826416
347.96653924721755, 6943.835748254322
346.18696009944284, 6948.654918799567
481.95045101819596, 7520.887199379347
489.8329267004619, 7546.211747195224
489.8329267004619, 7546.211747195224
489.8329267004619, 7546.211747195224
493.9740974526842, 7565.736669913398
493.9740974526842, 7565.736669913398
478.55525918546533, 7511.641863265095
370.76518502214964, 7053.404263665461
373.5796087647939, 7065.72600249143
274.6182151111757, 6653.8153251108815
254.76258064023955, 6570.260498551465
315.9018022238744, 6829.81188048154
